sample_id,paper_id,year,doi,source_location,material_system,device_system,precursor,carbonization_temperature_c,activation_method,bet_m2_g,total_pore_volume_cm3_g,d002_nm,id_ig,n_at_percent,o_at_percent,electrolyte,current_density_mag,mass_loading_mg_cm2,voltage_window,ice_percent,reversible_capacity_mah_g,specific_capacitance_f_g,quality_tier,needs_manual_check,check_reason,notes
SYN-SIB-029,P006,2025,synthetic-demo-doi-006,Synthetic Table 6,synthetic biomass hard carbon,SIB,coconut shell,1406.5,CO2,184.39,0.15,0.3513,1.044,1.95,0.46,1 M NaPF6 in diglyme,200.0,1.01,0.01-3.0 V vs Na/Na+,71.25,178.9,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-030,P006,2025,synthetic-demo-doi-006,Synthetic Table 6,synthetic biomass hard carbon,SIB,chitosan,1274.8,KOH,105.58,0.129,0.3732,1.241,1.8,9.99,1 M NaPF6 in EC/DMC,20.0,1.09,0.01-3.0 V vs Na/Na+,52.48,225.2,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-031,P006,2025,synthetic-demo-doi-006,Synthetic Table 6,synthetic biomass hard carbon,SIB,wood,1122.5,KOH,107.84,0.09,0.3599,1.258,1.69,1.89,1 M NaPF6 in EC/DMC,25.0,,0.01-3.0 V vs Na/Na+,62.34,223.2,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-032,P006,2025,synthetic-demo-doi-006,Synthetic Table 6,synthetic biomass hard carbon,SIB,chitosan,992.7,steam,33.22,0.066,,0.963,0.66,6.62,1 M NaClO4 in EC/PC,500.0,0.77,0.01-3.0 V vs Na/Na+,56.03,283.0,,Tier2,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-033,P007,2022,synthetic-demo-doi-007,Synthetic Table 7,synthetic biomass hard carbon,SIB,coconut shell,985.6,none,152.69,0.107,0.3622,1.273,2.26,7.18,1 M NaPF6 in EC/DEC,50.0,1.39,0.01-3.0 V vs Na/Na+,43.71,254.3,,Tier2,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-034,P007,2022,synthetic-demo-doi-007,Synthetic Table 7,synthetic biomass hard carbon,SIB,pomelo peel,889.0,none,68.09,0.075,0.3639,1.272,0.97,5.41,1 M NaPF6 in EC/DMC,100.0,0.84,0.01-3.0 V vs Na/Na+,38.91,282.3,,Tier2,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-035,P007,2022,synthetic-demo-doi-007,Synthetic Table 7,synthetic biomass hard carbon,SIB,pomelo peel,1313.1,none,25.25,0.058,,1.167,1.16,4.39,1 M NaPF6 in EC/DEC,20.0,0.59,0.01-3.0 V vs Na/Na+,59.51,245.8,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-036,P007,2022,synthetic-demo-doi-007,Synthetic Table 7,synthetic biomass hard carbon,SIB,sucrose,1530.3,none,54.03,0.02,0.3633,0.948,1.16,3.67,1 M NaPF6 in EC/DEC,100.0,,0.01-3.0 V vs Na/Na+,55.95,251.3,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-037,P007,2022,synthetic-demo-doi-007,Synthetic Table 7,synthetic biomass hard carbon,SIB,lignin,1059.6,steam,87.63,0.099,0.3681,1.314,2.13,8.89,1 M NaPF6 in EC/DEC,20.0,1.05,0.01-3.0 V vs Na/Na+,46.54,268.0,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-038,P007,2022,synthetic-demo-doi-007,Synthetic Table 7,synthetic biomass hard carbon,SIB,lignin,1380.4,none,14.76,0.02,0.3521,1.092,2.61,3.87,1 M NaPF6 in EC/DEC,20.0,,0.01-3.0 V vs Na/Na+,60.95,262.6,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-039,P007,2022,synthetic-demo-doi-007,Synthetic Table 7,synthetic biomass hard carbon,SIB,pomelo peel,1099.7,KOH,58.15,0.02,0.3466,,1.15,3.05,1 M NaClO4 in EC/PC,500.0,1.59,0.01-3.0 V vs Na/Na+,45.85,181.1,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-040,P008,2020,synthetic-demo-doi-008,Synthetic Table 8,synthetic biomass hard carbon,SIB,cellulose,1107.0,steam,73.9,0.106,0.382,0.87,0.0,8.08,1 M NaClO4 in EC/PC,20.0,0.84,0.01-3.0 V vs Na/Na+,50.86,253.3,,Tier2,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-041,P008,2020,synthetic-demo-doi-008,Synthetic Table 8,synthetic biomass hard carbon,SIB,wood,1251.2,KOH,212.8,0.25,,1.298,2.14,6.1,1 M NaPF6 in diglyme,50.0,,0.01-3.0 V vs Na/Na+,64.32,267.3,,Tier0,yes,synthetic suspicious outlier / needs source check,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-042,P008,2020,synthetic-demo-doi-008,Synthetic Table 8,synthetic biomass hard carbon,SIB,rice husk,1134.0,none,78.72,0.139,0.3697,1.194,0.41,6.46,1 M NaPF6 in EC/DMC,200.0,0.74,0.01-3.0 V vs Na/Na+,60.38,238.6,,Tier3,yes,synthetic suspicious outlier / needs source check,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-043,P008,2020,synthetic-demo-doi-008,Synthetic Table 8,synthetic biomass hard carbon,SIB,corn stalk,996.2,CO2,41.06,0.02,0.3792,1.245,0.0,5.71,1 M NaPF6 in diglyme,100.0,1.57,0.01-3.0 V vs Na/Na+,63.56,247.4,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-044,P009,2026,synthetic-demo-doi-009,Synthetic Table 9,synthetic biomass hard carbon,SIB,sucrose,1494.9,CO2,45.8,0.054,0.3565,1.002,1.81,3.02,1 M NaPF6 in diglyme,100.0,1.3,0.01-3.0 V vs Na/Na+,64.32,224.3,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-045,P009,2026,synthetic-demo-doi-009,Synthetic Table 9,synthetic biomass hard carbon,SIB,chitosan,1297.1,none,146.82,0.02,0.373,1.419,0.37,3.86,1 M NaPF6 in EC/DMC,50.0,0.89,0.01-3.0 V vs Na/Na+,60.41,288.8,,Tier2,yes,synthetic suspicious outlier / needs source check,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-046,P009,2026,synthetic-demo-doi-009,Synthetic Table 9,synthetic biomass hard carbon,SIB,pomelo peel,1379.5,CO2,115.97,0.07,0.3803,,1.01,6.75,1 M NaPF6 in EC/DMC,25.0,1.3,0.01-3.0 V vs Na/Na+,61.27,261.8,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-047,P009,2026,synthetic-demo-doi-009,Synthetic Table 9,synthetic biomass hard carbon,SIB,rice husk,1120.8,steam,27.87,0.02,0.3609,1.151,1.78,3.0,1 M NaPF6 in EC/DMC,25.0,1.22,0.01-3.0 V vs Na/Na+,54.97,191.8,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-048,P009,2026,synthetic-demo-doi-009,Synthetic Table 9,synthetic biomass hard carbon,SIB,sucrose,1072.7,CO2,80.46,0.135,0.3639,0.715,0.0,3.63,1 M NaClO4 in EC/PC,500.0,1.06,0.01-3.0 V vs Na/Na+,58.82,216.2,,Tier2,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-049,P009,2026,synthetic-demo-doi-009,Synthetic Table 9,synthetic biomass hard carbon,SIB,pomelo peel,939.7,none,44.5,0.143,0.369,0.951,1.57,3.55,1 M NaPF6 in diglyme,200.0,,0.01-3.0 V vs Na/Na+,59.94,250.9,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-050,P010,2020,synthetic-demo-doi-010,Synthetic Table 10,synthetic biomass hard carbon,SIB,lignin,903.0,none,46.0,0.034,0.4012,1.155,1.91,5.81,1 M NaClO4 in EC/PC,500.0,,0.01-3.0 V vs Na/Na+,56.06,250.2,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-051,P010,2020,synthetic-demo-doi-010,Synthetic Table 10,synthetic biomass hard carbon,SIB,rice husk,1105.3,KOH,118.65,0.132,,1.213,1.14,6.42,1 M NaPF6 in EC/DMC,20.0,1.33,0.01-3.0 V vs Na/Na+,42.25,214.5,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-052,P010,2020,synthetic-demo-doi-010,Synthetic Table 10,synthetic biomass hard carbon,SIB,coconut shell,910.2,none,190.75,0.18,0.3578,1.165,1.46,2.95,1 M NaPF6 in diglyme,200.0,0.94,0.01-3.0 V vs Na/Na+,59.27,243.3,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-053,P010,2020,synthetic-demo-doi-010,Synthetic Table 10,synthetic biomass hard carbon,SIB,coconut shell,1064.6,none,88.99,0.104,0.3476,1.208,2.24,6.68,1 M NaPF6 in EC/DMC,100.0,,0.01-3.0 V vs Na/Na+,50.89,244.7,,Tier2,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-054,P010,2020,synthetic-demo-doi-010,Synthetic Table 10,synthetic biomass hard carbon,SIB,sucrose,1397.3,none,83.87,0.115,0.3674,,2.32,4.26,1 M NaClO4 in EC/PC,200.0,1.05,0.01-3.0 V vs Na/Na+,68.21,239.8,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-055,P011,2025,synthetic-demo-doi-011,Synthetic Table 11,synthetic biomass hard carbon,SIB,rice husk,1374.5,steam,68.99,0.049,0.3608,1.241,1.84,5.29,1 M NaClO4 in EC/PC,25.0,,0.01-3.0 V vs Na/Na+,61.01,191.0,,Tier3,yes,synthetic suspicious outlier / needs source check,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-056,P011,2025,synthetic-demo-doi-011,Synthetic Table 11,synthetic biomass hard carbon,SIB,cellulose,1187.5,steam,91.41,0.057,0.3687,1.329,0.94,7.26,1 M NaPF6 in EC/DMC,50.0,0.87,0.01-3.0 V vs Na/Na+,55.92,265.1,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-057,P011,2025,synthetic-demo-doi-011,Synthetic Table 11,synthetic biomass hard carbon,SIB,pomelo peel,894.9,CO2,71.61,0.187,,1.452,1.65,7.45,1 M NaPF6 in EC/DMC,200.0,1.36,0.01-3.0 V vs Na/Na+,46.57,270.9,,Tier2,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-058,P011,2025,synthetic-demo-doi-011,Synthetic Table 11,synthetic biomass hard carbon,SIB,pomelo peel,995.1,CO2,32.31,0.02,0.3477,1.01,1.73,9.32,1 M NaPF6 in EC/DEC,20.0,0.99,0.01-3.0 V vs Na/Na+,53.36,241.4,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-059,P012,2020,synthetic-demo-doi-012,Synthetic Table 12,synthetic biomass hard carbon,SIB,chitosan,1200.2,none,111.8,0.111,0.3587,1.371,3.08,6.44,1 M NaPF6 in EC/DMC,100.0,1.63,0.01-3.0 V vs Na/Na+,64.37,258.4,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-060,P012,2020,synthetic-demo-doi-012,Synthetic Table 12,synthetic biomass hard carbon,SIB,coconut shell,1137.2,CO2,55.89,0.02,0.3658,,1.58,8.29,1 M NaPF6 in diglyme,25.0,,0.01-3.0 V vs Na/Na+,58.02,219.9,,Tier0,yes,synthetic suspicious outlier / needs source check,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-061,P012,2020,synthetic-demo-doi-012,Synthetic Table 12,synthetic biomass hard carbon,SIB,wood,1093.9,none,17.06,0.02,0.3661,1.039,2.88,5.21,1 M NaPF6 in EC/DMC,25.0,1.22,0.01-3.0 V vs Na/Na+,61.11,239.5,,Tier2,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-062,P012,2020,synthetic-demo-doi-012,Synthetic Table 12,synthetic biomass hard carbon,SIB,cellulose,1390.4,KOH,129.33,0.169,0.3684,1.3,1.77,3.03,1 M NaPF6 in diglyme,20.0,1.24,0.01-3.0 V vs Na/Na+,65.83,287.6,,Tier2,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-063,P012,2020,synthetic-demo-doi-012,Synthetic Table 12,synthetic biomass hard carbon,SIB,wood,1461.4,none,215.11,0.175,0.3591,0.912,0.0,3.86,1 M NaPF6 in diglyme,100.0,1.17,0.01-3.0 V vs Na/Na+,56.66,228.1,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-064,P012,2020,synthetic-demo-doi-012,Synthetic Table 12,synthetic biomass hard carbon,SIB,rice husk,1065.6,none,54.3,0.068,,1.141,3.03,8.26,1 M NaClO4 in EC/PC,20.0,1.46,0.01-3.0 V vs Na/Na+,64.53,299.1,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-065,P013,2020,synthetic-demo-doi-013,Synthetic Table 13,synthetic biomass hard carbon,SIB,corn stalk,982.2,steam,37.65,0.148,0.3762,1.336,1.01,5.61,1 M NaPF6 in diglyme,25.0,0.4,0.01-3.0 V vs Na/Na+,49.82,203.2,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-066,P013,2020,synthetic-demo-doi-013,Synthetic Table 13,synthetic biomass hard carbon,SIB,rice husk,1213.1,none,107.09,0.069,0.3767,1.25,0.95,2.34,1 M NaPF6 in diglyme,20.0,1.23,0.01-3.0 V vs Na/Na+,63.1,232.7,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-067,P013,2020,synthetic-demo-doi-013,Synthetic Table 13,synthetic biomass hard carbon,SIB,pomelo peel,1326.1,none,69.7,0.043,,1.104,0.0,7.11,1 M NaPF6 in diglyme,50.0,0.92,0.01-3.0 V vs Na/Na+,59.03,215.4,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-068,P013,2020,synthetic-demo-doi-013,Synthetic Table 13,synthetic biomass hard carbon,SIB,chitosan,1488.8,KOH,64.57,0.053,,,2.15,5.53,1 M NaPF6 in diglyme,25.0,,0.01-3.0 V vs Na/Na+,70.32,230.3,,Tier3,yes,synthetic suspicious outlier / needs source check,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-069,P014,2019,synthetic-demo-doi-014,Synthetic Table 14,synthetic biomass hard carbon,SIB,sucrose,949.6,KOH,111.87,0.105,0.376,0.941,1.48,11.21,1 M NaPF6 in EC/DEC,500.0,1.26,0.01-3.0 V vs Na/Na+,53.24,222.0,,Tier1,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-070,P014,2019,synthetic-demo-doi-014,Synthetic Table 14,synthetic biomass hard carbon,SIB,chitosan,1447.9,none,99.41,0.128,0.361,,0.5,7.29,1 M NaPF6 in diglyme,500.0,1.08,0.01-3.0 V vs Na/Na+,62.73,243.9,,Tier2,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-071,P014,2019,synthetic-demo-doi-014,Synthetic Table 14,synthetic biomass hard carbon,SIB,coconut shell,1181.0,none,46.32,0.041,0.3453,1.193,2.47,6.01,1 M NaPF6 in EC/DMC,200.0,,0.01-3.0 V vs Na/Na+,65.8,247.4,,Tier0,no,,SYNTHETIC DEMO ROW - not literature data
SYN-SIB-072,P014,2019,synthetic-demo-doi-014,Synthetic Table 14,synthetic biomass hard carbon,SIB,cellulose,1367.8,CO2,58.03,0.02,0.3724,,0.97,1.95,1 M NaPF6 in EC/DEC,100.0,1.31,0.01-3.0 V vs Na/Na+,70.28,267.4,,Tier2,yes,synthetic suspicious outlier / needs source check,SYNTHETIC DEMO ROW - not literature data
