sample_id,paper_id,year,dataset_type,material_system,device_system,precursor,carbonization_temperature_c,activation_method,bet_m2_g,total_pore_volume_cm3_g,d002_nm,id_ig,n_at_percent,o_at_percent,electrolyte,current_density_mag,mass_loading_mg_cm2,voltage_window,ice_percent,reversible_capacity_mah_g,source_location,doi,quality_tier,needs_manual_check,check_reason
SYN_SIB_039,SYN_P019,2021,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,bamboo,1300,CO2,,0.351,0.3818,0.75,,7.92,carbonate,50,,0.01-3.0 V,63.46,322.54,synthetic_demo_no_source_pdf,,Tier1,yes,missing mass loading
SYN_SIB_040,SYN_P020,2020,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,corn_stalk,1100,None,,0.042,0.3749,1.638,,,carbonate,200,1.36,0.01-3.0 V,60.82,240.5,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_041,SYN_P001,2026,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,coconut_shell,850,H3PO4,526.7,,0.3816,,,,carbonate,30,0.82,0.01-3.0 V,35.67,301.98,synthetic_demo_no_source_pdf,,Tier2,no,
SYN_SIB_042,SYN_P002,2020,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,chitosan,1200,KOH,458.1,0.484,0.3725,0.677,,,carbonate,200,1.21,0.01-3.0 V,42.89,342.55,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_043,SYN_P003,2023,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,lignin,1300,None,66.75,,0.3846,1.317,,,ether,30,1.12,0.01-3.0 V,50.75,231.16,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_044,SYN_P004,2023,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,lignin,750,KOH,1046.47,1.766,0.3892,1.185,,6.54,carbonate,50,1.21,0.01-3.0 V,40.66,207.91,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_045,SYN_P005,2026,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,walnut_shell,900,None,62.35,0.039,0.3795,0.903,,3.86,carbonate,50,,0.01-3.0 V,44.15,275.02,synthetic_demo_no_source_pdf,,Tier1,yes,missing mass loading
SYN_SIB_046,SYN_P006,2023,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,wood_sawdust,1000,None,370.61,,0.3779,,,,carbonate,200,1.12,0.01-3.0 V,50.37,274.19,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_047,SYN_P007,2026,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,walnut_shell,1100,None,460.49,,0.3738,,,,carbonate,30,1.35,0.01-3.0 V,55.85,217.18,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_048,SYN_P008,2026,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,wood_sawdust,1000,H3PO4,1047.06,,0.3765,,,7.44,carbonate,200,0.83,0.01-3.0 V,34.3,301.21,synthetic_demo_no_source_pdf,,Tier2,no,
SYN_SIB_049,SYN_P009,2024,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,coconut_shell,850,None,24.69,0.024,0.3797,0.906,,10.71,carbonate,200,0.46,0.01-3.0 V,46.23,164.83,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_050,SYN_P010,2026,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,chitosan,1200,None,,0.098,,0.707,,8.63,carbonate,100,1.3,0.01-3.0 V,49.66,294.17,synthetic_demo_no_source_pdf,,Tier3,yes,synthetic suspicious case for workflow testing
SYN_SIB_051,SYN_P011,2025,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,cellulose_lignin_blend,750,None,104.43,0.163,0.3889,,,3.43,ether,50,1.52,0.01-3.0 V,47.81,248.53,synthetic_demo_no_source_pdf,,Tier2,no,
SYN_SIB_052,SYN_P012,2024,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,walnut_shell,800,KOH,145.27,,0.3813,1.302,,,carbonate,200,,0.01-3.0 V,47.24,267.93,synthetic_demo_no_source_pdf,,Tier2,yes,missing mass loading
SYN_SIB_053,SYN_P013,2025,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,rice_husk,1300,None,366.3,0.34,0.3673,1.007,,8.98,carbonate,100,0.51,0.01-3.0 V,45.68,333.93,synthetic_demo_no_source_pdf,,Tier3,yes,synthetic suspicious case for workflow testing
SYN_SIB_054,SYN_P014,2022,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,chitosan,1200,KOH,,1.367,0.3761,1.15,,6.86,carbonate,50,1.5,0.01-3.0 V,48.62,323.87,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_055,SYN_P015,2022,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,bamboo,1200,CO2,379.9,0.583,0.3666,1.456,1.55,,carbonate,50,0.98,0.01-3.0 V,49.93,294.99,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_056,SYN_P016,2024,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,coconut_shell,1100,KOH,314.34,,0.3697,1.346,,5.45,carbonate,100,0.96,0.01-3.0 V,44.22,273.27,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_057,SYN_P017,2020,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,cellulose_lignin_blend,1300,None,60.54,0.08,0.3718,0.855,,,carbonate,200,0.96,0.01-3.0 V,56.47,289.84,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_058,SYN_P018,2022,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,rice_husk,850,KOH,,,0.3698,1.327,,,ether,20,,0.01-3.0 V,32.27,244.13,synthetic_demo_no_source_pdf,,Tier2,yes,missing mass loading
SYN_SIB_059,SYN_P019,2023,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,cellulose_lignin_blend,1000,None,26.11,0.029,0.3469,1.554,,8.29,carbonate,50,1.3,0.01-3.0 V,52.24,230.32,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_060,SYN_P020,2021,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,lignin,1300,None,170.97,0.175,0.3847,1.181,,5.93,carbonate,100,0.72,0.01-3.0 V,60.53,298.34,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_061,SYN_P001,2023,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,cellulose_lignin_blend,1100,None,335.78,0.566,0.378,1.505,,,carbonate,20,1.11,0.01-3.0 V,56.48,209.05,synthetic_demo_no_source_pdf,,Tier2,no,
SYN_SIB_062,SYN_P002,2021,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,bamboo,800,None,,0.037,0.3859,1.574,2.42,10.13,carbonate,50,1.12,0.01-3.0 V,27.56,257.22,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_063,SYN_P003,2022,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,bamboo,1300,None,,,0.3574,,,7.64,carbonate,200,1.5,0.01-3.0 V,47.27,306.31,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_064,SYN_P004,2026,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,walnut_shell,800,steam,133.27,,0.3844,1.377,,,ether,20,0.67,0.01-3.0 V,53.09,281.36,synthetic_demo_no_source_pdf,,Tier2,no,
SYN_SIB_065,SYN_P005,2022,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,chitosan,900,None,,,0.3713,,,5.36,ether,50,0.94,0.01-3.0 V,38.61,261.59,synthetic_demo_no_source_pdf,,Tier3,yes,synthetic suspicious case for workflow testing
SYN_SIB_066,SYN_P006,2021,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,walnut_shell,1000,KOH,288.93,,0.3757,1.64,,,carbonate,20,0.77,0.01-3.0 V,50.09,252.09,synthetic_demo_no_source_pdf,,Tier2,no,
SYN_SIB_067,SYN_P007,2020,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,bamboo,1100,None,16.45,0.016,0.3696,,,,carbonate,200,0.43,0.01-3.0 V,50.79,258.99,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_068,SYN_P008,2024,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,wood_sawdust,1200,None,82.9,0.078,0.3689,1.017,0.33,,carbonate,50,1.02,0.01-3.0 V,49.66,257.4,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_069,SYN_P009,2020,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,corn_stalk,1200,steam,2052.88,,0.3594,1.093,,,carbonate,100,0.71,0.01-3.0 V,25.61,377.81,synthetic_demo_no_source_pdf,,Tier2,no,
SYN_SIB_070,SYN_P010,2026,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,cellulose_lignin_blend,800,None,35.96,0.05,,,,,ether,50,1.73,0.01-3.0 V,37.47,223.76,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_071,SYN_P011,2022,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,bamboo,1200,None,332.8,0.233,0.372,0.927,,4.41,carbonate,50,1.33,0.01-3.0 V,51.23,351.06,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_072,SYN_P012,2021,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,pomelo_peel,850,None,179.46,,,1.282,,5.48,ether,30,1.4,0.01-3.0 V,53.09,245.0,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_073,SYN_P013,2024,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,wood_sawdust,700,None,138.16,,,0.823,,7.97,carbonate,50,,0.01-3.0 V,49.75,203.97,synthetic_demo_no_source_pdf,,Tier1,yes,missing mass loading
SYN_SIB_074,SYN_P014,2021,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,walnut_shell,900,None,23.67,,0.4074,,,,carbonate,100,1.19,0.01-3.0 V,49.77,236.35,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_075,SYN_P015,2023,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,chitosan,750,None,59.65,,0.3926,1.071,,8.31,carbonate,200,1.3,0.01-3.0 V,41.23,250.0,synthetic_demo_no_source_pdf,,Tier2,no,
SYN_SIB_076,SYN_P016,2026,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,cellulose_lignin_blend,750,None,,0.094,,1.228,0.63,,carbonate,200,,0.01-3.0 V,42.55,235.38,synthetic_demo_no_source_pdf,,Tier1,yes,missing mass loading
SYN_SIB_077,SYN_P017,2026,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,lignin,900,None,50.01,0.071,0.3642,1.429,,6.47,carbonate,100,1.86,0.01-3.0 V,37.24,276.91,synthetic_demo_no_source_pdf,,Tier2,no,
SYN_SIB_078,SYN_P018,2024,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,cotton_stalk,800,H3PO4,,,,1.91,0.5,,carbonate,100,0.35,0.01-3.0 V,34.16,208.71,synthetic_demo_no_source_pdf,,Tier2,no,
SYN_SIB_079,SYN_P019,2021,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,pomelo_peel,850,None,103.96,0.1,0.3692,,,,carbonate,20,0.65,0.01-3.0 V,48.64,310.07,synthetic_demo_no_source_pdf,,Tier1,no,
SYN_SIB_080,SYN_P020,2021,synthetic_public_demo,biomass_derived_hard_carbon,half_cell,cotton_stalk,800,None,87.58,,0.404,1.089,2.23,,ether,100,,0.01-3.0 V,42.16,261.06,synthetic_demo_no_source_pdf,,Tier1,yes,missing mass loading
